bin,bank,country,type,level
435503,ACBA CREDIT AGRICOLE BANK CJSC,ARMENIA,Credit,GOLD
456468,AUSTRALIA AND NEW ZEALAND BANKING GROUP, LTD.,AUSTRALIA,Credit,PLATINUM
459693,AUSTRALIA,AUSTRALIA,Debit,PLATINUM
518868,BENDIGO AND ADELAIDE BANK, LTD.,AUSTRALIA,Debit,STANDARD
521729,COMMONWEALTH BANK OF AUSTRALIA,AUSTRALIA,Debit,STANDARD
528013,COMMONWEALTH BANK OF AUSTRALIA,AUSTRALIA,Debit,PLATINUM
552060,NATIONAL AUSTRALIA BANK, LTD.,AUSTRALIA,Credit,WORLD
555389,REVOLUT PAYMENTS AUSTRALIA PTY, LTD.,AUSTRALIA,Debit,TITANIUM
535686,PSA PAYMENT SERVICES AUSTRIA GMBH,AUSTRIA,Debit,STANDARD
544990,ERSTE BANK DER OSTERREICHISCHEN SPARKASSEN AG,AUSTRIA,Credit,GOLD
423608,ING BELGIUM SA/NV,BELGIUM,Credit,CLASSIC
456933,TRANSFERWISE,BELGIUM,Debit,INFINITE
487104,BNP PARIBAS FORTIS,BELGIUM,Debit,CLASSIC
489114,AXA BANK BELGIUM SA,BELGIUM,Credit,CLASSIC
520697,ING BELGIUM,BELGIUM,Credit,STANDARD
525636,ARGENTA SPAARBANK,BELGIUM,Credit,STANDARD
536496,KBC BANKVERZEKERINGSHOLDING (KBC BANK N.V.),BELGIUM,Debit,PREPAID
538900,KBC BANKVERZEKERINGSHOLDING (KBC BANK N.V.),BELGIUM,Debit,PREPAID
544036,BNP PARIBAS FORTIS,BELGIUM,Credit,PLATINUM
554505,BELFIUS BANK N.V. / BELFIUS BANQUE, S.A.,BELGIUM,Debit,PREPAID
512038,RAIFFEISEN BANK SH.A.,ALBANIA,Credit,STANDARD
422036,Unknown,ANGOLA,Debit,PREPAID
424128,BANCO ANGOLANO DE INVESTIMENTOS, S.A.,ANGOLA,Credit,CLASSIC
433441,BANCO DE CORRIENTES, S.A.,ARGENTINA,Credit,GOLD
450910,HSBC BANK ARGENTINA, S.A.,ARGENTINA,Credit,CLASSIC
450995,BANCO SANTANDER RIO, S.A.,ARGENTINA,Credit,GOLD
451769,BANCO DE GALICIA Y BUENOS AIRES, S.A.,ARGENTINA,Debit,CLASSIC
454073,BBVA ARGENTINA,ARGENTINA,Credit,GOLD
408306,AMERIABANK CJSC,ARMENIA,Debit,CLASSIC
472214,ARMBUSINESSBANK,ARMENIA,Debit,CLASSIC
513457,ARMENIAN CARD CJSC,ARMENIA,Credit,STANDARD
540661,ARMENIAN CARD CJSC,ARMENIA,Credit,STANDARD
521729,COMMONWEALTH BANK OF AUSTRALIA,AUSTRALIA,Debit,STANDARD
422093,ERSTE BANK DER OESTERREICHISCHEN SPARKASSEN AG,AUSTRIA,Credit,GOLD
422210,ERSTE BANK DER OESTERREICHISCHEN SPARKASSEN AG,AUSTRIA,Credit,CLASSIC
422211,ERSTE BANK DER OESTERREICHISCHEN SPARKASSEN AG,AUSTRIA,Credit,PLATINUM
454818,CARD COMPLETE SERVICE BANK AG,AUSTRIA,Credit,CLASSIC
454825,CARD COMPLETE SERVICE BANK AG,AUSTRIA,Credit,GOLD
478076,RAIFFEISEN BANK INTERNATIONAL AG,AUSTRIA,Credit,CLASSIC
478077,RAIFFEISEN BANK INTERNATIONAL AG,AUSTRIA,Credit,GOLD
510045,ERSTE BANK DER OSTERREICHISCHEN SPARKASSEN AG,AUSTRIA,Credit,WORLD
524747,ADVANZIA BANK, S.A.,AUSTRIA,Credit,GOLD
526627,BAWAG P.S.K. BANK,AUSTRIA,Credit,STANDARD
532953,CARD COMPLETE SERVICE BANK AG,AUSTRIA,Credit,CORPORATE
535685,PSA PAYMENT SERVICES AUSTRIA GMBH,AUSTRIA,Debit,STANDARD
535686,PSA PAYMENT SERVICES AUSTRIA GMBH,AUSTRIA,Debit,STANDARD
538184,PSA PAYMENT SERVICES AUSTRIA GMBH,AUSTRIA,Credit,STANDARD
543315,ERSTE BANK DER OSTERREICHISCHEN SPARKASSEN AG,AUSTRIA,Credit,PLATINUM
544271,ERSTE BANK DER OSTERREICHISCHEN SPARKASSEN AG,AUSTRIA,Credit,STANDARD
544990,ERSTE BANK DER OSTERREICHISCHEN SPARKASSEN AG,AUSTRIA,Credit,GOLD
557352,PSA PAYMENT SERVICES AUSTRIA GMBH,AUSTRIA,Debit,GOLD
559572,PSA PAYMENT SERVICES AUSTRIA GMBH,AUSTRIA,Debit,BUSINESS
540269,PASHA BANK,AZERBAIJAN,Credit,PLATINUM
523609,SCOTIABANK (BAHAMAS), LTD.,BAHAMAS,Debit,PLATINUM
467941,JSC DELTA BANK,BELARUS,Debit,ELECTRON
377962,Unknown,BELGIUM,Credit,PERSONAL
408490,BNP PARIBAS FORTIS,BELGIUM,Credit,CLASSIC
417160,CRELAN,BELGIUM,Credit,GOLD
422246,CARREFOUR FINANCE,BELGIUM,Credit,CLASSIC
422247,CARREFOUR FINANCE,BELGIUM,Credit,CLASSIC
423608,ING BELGIUM SA/NV,BELGIUM,Credit,CLASSIC
423686,ING BELGIUM SA/NV,BELGIUM,Credit,GOLD
445470,VISA BELGIUM,BELGIUM,Credit,CLASSIC
445471,BNP PARIBAS FORTIS,BELGIUM,Credit,CLASSIC
445472,BNP PARIBAS FORTIS,BELGIUM,Credit,GOLD
445473,BNP PARIBAS FORTIS,BELGIUM,Credit,BUSINESS
454402,EUROPABANK,BELGIUM,Credit,CLASSIC
456397,BEOBANK NV/SA,BELGIUM,Credit,CLASSIC
456933,TRANSFERWISE,BELGIUM,Debit,INFINITE
456959,BELFIUS BANK N.V. / BELFIUS BANQUE, S.A.,BELGIUM,Credit,BUSINESS
468761,BELFIUS BANK N.V. / BELFIUS BANQUE, S.A.,BELGIUM,Credit,CORPORATE T&E
479655,KEYTRADE BANK,BELGIUM,Credit,CLASSIC
479656,KEYTRADE BANK,BELGIUM,Credit,GOLD
479657,KEYTRADE BANK,BELGIUM,Credit,PLATINUM
479658,KEYTRADE BANK,BELGIUM,Debit,CLASSIC
480124,BNP PARIBAS FORTIS,BELGIUM,Credit,CLASSIC
487104,BNP PARIBAS FORTIS,BELGIUM,Debit,CLASSIC
487109,BNP PARIBAS FORTIS,BELGIUM,Debit,BUSINESS
487179,PAYNOVATE, S.A.,BELGIUM,Credit,CORPORATE T&E
489103,VISA BELGIUM,BELGIUM,Credit,CLASSIC
489114,AXA BANK EUROPE, S.A.,BELGIUM,Credit,CLASSIC
491832,BEOBANK NV/SA,BELGIUM,Credit,GOLD
513491,BUY WAY PERSONAL FINANCE SA,BELGIUM,Credit,STANDARD
516441,EUROPAY BELGIUM S.C.R.L.,BELGIUM,Credit,PLATINUM
516920,BELFIUS BANK N.V. / BELFIUS BANQUE, S.A.,BELGIUM,Debit,STANDARD
517535,EUROPAY BELGIUM S.C.R.L.,BELGIUM,Credit,STANDARD
517651,KBC BANKVERZEKERINGSHOLDING (KBC BANK N.V.),BELGIUM,Credit,PLATINUM
519367,EUROPAY BELGIUM S.C.R.L.,BELGIUM,Credit,MIXED PRODUCT
520697,ING BELGIUM,BELGIUM,Credit,STANDARD
521890,BELFIUS BANK N.V. / BELFIUS BANQUE, S.A.,BELGIUM,Credit,PLATINUM
522885,BNP PARIBAS FORTIS,BELGIUM,Credit,WORLD
523755,AION, S.A.,BELGIUM,Credit,STANDARD
525636,ARGENTA SPAARBANK,BELGIUM,Credit,STANDARD
527534,BUY WAY PERSONAL FINANCE SA,BELGIUM,Credit,STANDARD
527583,KBC BANKVERZEKERINGSHOLDING (KBC BANK N.V.),BELGIUM,Credit,PLATINUM
527618,KBC BANKVERZEKERINGSHOLDING (KBC BANK N.V.),BELGIUM,Credit,PLATINUM
530558,BPOST S.A. DE DROIT PUBLIC - BPOST NV VAN PUBLIEK RECHT,BELGIUM,Debit,PREPAID
530784,EUROPAY BELGIUM S.C.R.L.,BELGIUM,Credit,GOLD
534616,ARGENTA SPAARBANK,BELGIUM,Credit,GOLD
536496,KBC BANKVERZEKERINGSHOLDING (KBC BANK N.V.),BELGIUM,Debit,PREPAID
538900,KBC BANKVERZEKERINGSHOLDING (KBC BANK N.V.),BELGIUM,Debit,PREPAID
539848,BNP PARIBAS FORTIS,BELGIUM,Credit,STANDARD
539853,BELFIUS BANK N.V. / BELFIUS BANQUE, S.A.,BELGIUM,Credit,STANDARD
543933,EUROPAY BELGIUM S.C.R.L.,BELGIUM,Credit,GOLD
543968,EUROPAY BELGIUM S.C.R.L.,BELGIUM,Credit,GOLD
544036,BNP PARIBAS FORTIS,BELGIUM,Credit,GOLD
544037,BNP PARIBAS FORTIS,BELGIUM,Credit,GOLD
544038,KBC BANKVERZEKERINGSHOLDING (KBC BANK N.V.),BELGIUM,Credit,PLATINUM
544056,BELFIUS BANK N.V. / BELFIUS BANQUE, S.A.,BELGIUM,Credit,GOLD
546898,BEOBANK NV/SA,BELGIUM,Credit,WORLD
546899,BEOBANK NV/SA,BELGIUM,Credit,WORLD
547033,KBC BANKVERZEKERINGSHOLDING (KBC BANK N.V.),BELGIUM,Credit,MIXED PRODUCT
547685,ING BELGIUM,BELGIUM,Credit,BUSINESS
547835,KBC BANKVERZEKERINGSHOLDING (KBC BANK N.V.),BELGIUM,Credit,BUSINESS
552041,ING BELGIUM,BELGIUM,Credit,GOLD
554505,BELFIUS BANK N.V. / BELFIUS BANQUE, S.A.,BELGIUM,Debit,PREPAID
670300,BNP PARIBAS FORTIS,BELGIUM,Debit,PERSONAL
670305,BELFIUS BANK N.V. / BELFIUS BANQUE, S.A.,BELGIUM,Debit,PERSONAL
670310,EUROPAY BELGIUM S.C.R.L.,BELGIUM,Debit,PERSONAL
670319,KBC BANKVERZEKERINGSHOLDING (KBC BANK N.V.),BELGIUM,Debit,PERSONAL
670330,ING BELGIUM,BELGIUM,Debit,PERSONAL
670336,ING BELGIUM,BELGIUM,Debit,PERSONAL
670337,ING BELGIUM,BELGIUM,Debit,PERSONAL
670342,KBC BANKVERZEKERINGSHOLDING (KBC BANK N.V.),BELGIUM,Debit,PERSONAL
670373,KBC BANKVERZEKERINGSHOLDING (KBC BANK N.V.),BELGIUM,Debit,PERSONAL
670375,AXA BANK BELGIUM,BELGIUM,Debit,PERSONAL
526186,CLARIEN BANK, LTD.,BERMUDA,Debit,PLATINUM
544792,BANK OF N.T. BUTTERFIELD & SON, LTD.,BERMUDA,Debit,PLATINUM
439701,Unknown,BRAZIL,Debit,PREPAID PLATINUM
477176,ITAU UNIBANCO, S.A.,BRAZIL,Credit,INFINITE
490172,ITAU UNIBANCO, S.A.,BRAZIL,Credit,SIGNATURE
531715,BANCO SANTANDER (BRASIL), S.A.,BRAZIL,Credit,CORPORATE
550209,NU PAGAMENTOS SA,BRAZIL,Credit,GOLD
417099,EUROBANK EFG BULGARIA A.D.,BULGARIA,Debit,CLASSIC
437850,FIRST INVESTMENT BANK,BULGARIA,Credit,CLASSIC
437851,FIRST INVESTMENT BANK,BULGARIA,Debit,CLASSIC
439667,Unknown,BULGARIA,Debit,PREPAID BUSINESS
474284,BULGARIAN AMERICAN CREDIT BANK AD,BULGARIA,Debit,GOLD
516849,DSK BANK PLC,BULGARIA,Debit,STANDARD
441343,AFRILAND FIRST BANK,CAMEROON,Credit,GOLD
439700,Unknown,CANADA,Debit,PREPAID PLATINUM
451401,ROYAL BANK OF CANADA,CANADA,Credit,INFINITE
452088,TORONTO-DOMINION BANK,CANADA,Credit,INFINITE
453706,BANK OF NOVA SCOTIA,CANADA,Credit,CLASSIC
453747,BANK OF NOVA SCOTIA,CANADA,Credit,INFINITE
453826,BANK OF NOVA SCOTIA,CANADA,Credit,INFINITE
454033,FEDERATION DES CAISSES DESJARDINS DU QUEBEC,CANADA,Credit,GOLD
478901,VANCOUVER CITY SAVINGS C.U.,CANADA,Credit,CLASSIC
516075,CANADIAN IMPERIAL BANK OF COMMERCE,CANADA,Credit,STANDARD
518116,PRESIDENT'S CHOICE BANK,CANADA,Credit,WORLD ELITE
525897,NATIONAL BANK OF CANADA,CANADA,Credit,MIXED PRODUCT
525899,NATIONAL BANK OF CANADA,CANADA,Credit,WORLD ELITE
559822,FEDERATION DES CAISSES DESJARDINS DU QUEBEC,CANADA,Credit,STANDARD
544369,BANCO C6 SA,CAYMAN ISLANDS,Debit,PLATINUM
457281,UNITED BANK FOR AFRICA TCHAD,CHAD,Debit,PREPAID
475776,BANCO DE CHILE,CHILE,Credit,INFINITE
406616,CREDIT DU CONGO,CONGO,Debit,CLASSIC
416924,SOCIETE GENERALE CONGO,CONGO,Debit,CLASSIC
534402,UNITED BANK FOR AFRICA PLC,CONGO,Debit,STANDARD
405822,Unknown,COTE D'IVOIRE,Debit,PREPAID
